Sub	group	acc	RT	RTopt	RTsubopt	propOpt	Switches	totalPoints	Nblocks
1	1	0.997024	2576.34	2502.17	3067.91	0.853731	0.230303	3.68	4
2	2	0.992063	5184.94	4876.06	5465.09	0.48	0.306122	0.89	3
3	3	0.980159	4310.43	4183.71	4395.49	0.404858	0.414226	4.01	3
4	4	0.97619	3554.27	3368.84	3679.18	0.398374	0.189873	3.75	3
5	1	0.992063	4037.98	4354.99	3773.01	0.456	0.428571	2.89	3
6	2	0.992063	4110.69	4266.26	3981.62	0.456	0.371429	3.72	3
7	3	0.988095	3067.16	3541.09	2878.8	0.286145	0.453704	3.87	4
8	4	0.996032	4730.18	4992.54	4321.76	0.613546	0.421053	2.02	3
9	1	0.992063	3932.99	3800.41	4055.22	0.48	0.322449	2.89	3
10	2	0.967262	2828.59	2856.37	2682.08	0.836923	0.315113	4	4
11	3	0.988095	3630.65	3999.08	3382.52	0.401606	0.45679	4.08	3
12	4	0.997024	3061.62	2904.49	3562.86	0.758209	0.19697	1.92	4
13	1	0.988095	4462.83	4326.46	4710.48	0.650602	0.438525	4.32	3
14	2	0.97619	5291.22	5420.12	5163.37	0.49187	0.510549	1.75	3
15	3	0.93254	7019.02	6716.27	7260.75	0.446809	0.534247	3.09	3
16	4	0.991071	3057.98	2668.72	3435.52	0.498498	0.131902	2.19	4
17	1	0.992063	3560.11	3754.76	3328.96	0.552	0.510204	1.72	3
18	2	0.982143	3125.16	2973.07	4126.16	0.860606	0.314642	4.08	4
19	3	0.994048	3280.54	2885.73	3479.76	0.338323	0.27439	4.04	4
20	4	1	6094.48	6380.17	5851.12	0.460317	0.51004	2.03	3
21	1	0.988095	2510.44	2350.34	2947.07	0.731928	0.290123	2.07	4
22	2	0.982143	2398.93	2401.76	2340.33	0.951515	0.321875	4.09	4
23	3	0.988095	5111.37	5280.28	4968.06	0.461847	0.493827	2.1	3
24	4	0.985119	3292.84	2950.05	3760.73	0.583082	0.204969	4.38	4
25	1	0.97619	2610.5	2548.47	3082.21	0.881098	0.297468	4.29	4
26	2	0.97619	2960.15	2516.48	3441.04	0.512195	0.0315457	4.07	4
27	3	0.985119	2934.03	2947.41	2927.82	0.317221	0.393189	2.38	4
28	4	0.979167	2151.29	1946.25	2351.32	0.486322	0.0188088	3.17	4
29	1	0.960317	4244.89	4334.32	4163.33	0.475207	0.426087	4	3
30	2	0.970238	2726.62	2568.92	3267.61	0.760736	0.217252	4.03	4
