Sub	group	acc	RT	RTopt	RTsubopt	propOpt	Switches	totalPoints	Nblocks
1	1	0.980159	4077.15	4145.86	4036.28	0.37247	0.313808	128.14	3
2	2	0.920635	4009.31	4165.86	3856.82	0.49569	0.404651	124.74	3
									
4	2	0.984127	2712.1	2575.94	2898.02	0.580645	0.46473	131.8	3
5	1	0.996032	3409.94	3587.89	3248.42	0.482072	0.526316	137.65	3
6	2	0.97619	3803.65	3020.78	4640.51	0.50813	0.00843882	133.03	3
7	1	0.996032	3638.69	3437.9	3828.33	0.494024	0.190283	134.25	3
8	2	0.985119	2731.41	2650.93	2850.31	0.598187	0.229814	174.65	4
10	2	0.980159	3602.43	3186.67	4025.05	0.497976	0.0166667	136.86	3
11	1	0.97619	3808.82	3709.21	4516.03	0.869919	0.265823	144.97	3
12	2	0.984127	4893.56	4547.65	5155.46	0.431452	0.456432	135.83	3
13	1	0.982143	3154.03	3116.53	3187.6	0.475758	0.39375	175.15	4
14	2	0.992063	5051.29	5077.59	5026.85	0.476	0.420408	135.15	3
16	2	0.925595	3105.36	3007.98	3314.32	0.675241	0.416084	169.27	4
17	1	0.973214	2740.06	2594.53	2949.04	0.590214	0.316456	190.7	4
19	1	0.984127	3534.64	3721.8	3378.67	0.443548	0.489627	132.89	3
20	2	0.97619	3362.34	3400.41	3340.58	0.369919	0.455696	136.89	3
21	1	0.982143	2586.57	2566.68	2666.12	0.79697	0.29375	190.41	4
22	2	1	2863.6	2553.61	3198.93	0.520833	0.159639	181.74	4
23	1	0.994048	2601.96	2456.8	2910.26	0.670659	0.176829	183.46	4
24	2	0.956349	3927.12	3685.31	4232.94	0.547718	0.502203	127.75	3
25	1	0.920635	4666.55	4356.87	4978.96	0.5	0.481132	126.57	3
26	2	0.958333	2505.09	2448.15	2648.68	0.714286	0.403279	169.01	4
27	1	0.972222	3367.59	3401.47	3184.82	0.844898	0.297872	137.99	3
28	2	0.992063	3227.01	3217.87	3248.86	0.696	0.35102	131.07	3
29	1	0.972222	4545.39	4477.43	4604.78	0.473469	0.305085	128.94	3
30	2	0.97619	3726.47	3773.85	3689.19	0.439024	0.455696	132.07	3
32	2	0.97619	5553.36	5870.95	5214.25	0.51626	0.527426	132.28	3
									
34	2	0.992063	3505.5	3212.01	4038.52	0.636	0.24898	132.2	3
35	1	0.964286	4694.19	5283.31	4020.16	0.539095	0.450216	134.43	3
36	2	0.984127	3336.33	3418.3	3260.82	0.479839	0.520661	131.37	3
37	1	0.988095	3414.7	3320.19	3517.23	0.522088	0.415638	134.67	3
39	1	0.996032	4374.67	4202.01	4705.6	0.657371	0.360324	141.47	3
40	2	0.988095	5013.2	4630.98	5737.16	0.654618	0.37037	131.95	3
41	1	0.996032	3979.88	4000.96	3952.54	0.561753	0.350806	135.49	3
42	2	0.968254	3596.72	3540.96	3632.38	0.389344	0.484979	133.55	3
43	1	0.996032	3786.71	3180.69	4162.99	0.386454	0.259109	131.67	3
44	2	0.992063	3500.18	3142.38	3695.96	0.352	0.408163	140.46	3
45	1	0.988095	2509.03	2421.94	2574.71	0.433735	0.361111	175.53	4
46	2	0.956349	5274.99	4549.71	5856.31	0.443983	0.344978	134.47	3
47	1	0.956349	3595.11	3620.36	3350.68	0.908714	0.337719	141.21	3
48	2	0.988095	2730.32	2758.65	2659.8	0.713855	0.314815	175.2	4
									
50	2	0.956349	3132.14	2900.65	3918.34	0.755187	0.299559	121.27	3
51	1	0.97619	2790.73	2819.9	1470	0.978659	0.291139	194.55	4
52	2	0.985119	2948.8	2749.51	3300.08	0.63142	0.440994	172.43	4
53	1	0.90873	4770.41	4807.44	4723.75	0.563319	0.333333	126.2	3
54	2	0.982143	2694.35	2336.7	3032.74	0.484848	0.071875	175.46	4
55	1	0.992063	3095.61	3045.96	3146.08	0.504	0.326531	134.26	3
56	2	0.952381	3423.82	3247.56	3929.49	0.7375	0.342222	127.13	3
57	1	0.958333	3078.62	2928.1	3210.32	0.47205	0.301639	172.74	4
58	2	1	2873.27	2914.9	2838.78	0.455357	0.493976	184.31	4
59	1	0.956349	5820.06	4568.34	7082.39	0.493776	0.026087	128.09	3
60	2	0.960317	3156.16	3378.18	2922.66	0.508264	0.362445	132.56	3
61	1	0.992063	5661.84	6008.11	5399.66	0.428	0.379592	133.38	3
64	2	0.988095	3571.46	3806.92	3330.17	0.506024	0.493827	134.19	3
65	1	0.952381	3904.39	4579.72	3376.31	0.441667	0.422907	128.26	3
66	2	0.996032	4032	3945.47	4142.35	0.565737	0.546559	137.27	3
									
									
									
		0.975410875	3669.119286						
		0.020920111	850.9109277						
		0.062760332	2552.732783						
		0.912650543	6221.852069						
	STDEV		1116.386503						
									
									
									
									
3	1	0.984127	7335.36	6844.33	7892.15	0.524194	0.322314	130.94	3
33	1	0.873016	5248.3	4738.86	6244.69	0.640909	0.497436	124.18	3
49	1	0.984127	8220.47	9259.61	7302.16	0.471774	0.493776	134.08	3
